task_entry_id,task_id_ref,created_by_user_id,client_id,contractor_id,assigned_to_personnel_id,campaign_id,field_id,lot_id,parcel_id,machinery_id,product_insume_id,quantity_insume_used,unit_insume_used,start_datetime,end_datetime,duration_hours,status,cost_estimated,cost_actual,result_description,notes,creation_timestamp
task_entry_v4_011,task_monitoreo_p,user_admin_nor,client_04,cont_int_004,pers_op_flores,camp_soja24_nor,field_nor_02,lot_nor_ll_01,parcel_nor_ll01_01,NULL,NULL,NULL,NULL,2025-01-23 07:00:00,NULL,NULL,Bloqueada,4613.36,NULL,"Bloqueada: Monitoreo de Plagas en field_nor_02.",Lluvia interrumpió labores.,2024-01-12 15:00:00
task_entry_v4_012,task_cosecha_g,user_trab_ama_1,client_01,cont_ext_009,pers_cosechadora_team,camp_soja2324_ama,field_ama_01,lot_ama_e_02,parcel_ama_e02_01,mach_jd_s670,NULL,NULL,NULL,2024-04-04 11:45:00,2024-04-04 18:27:00,6.7,Finalizada,329.99,390.29,"Finalizada: Cosecha de Granos en field_ama_01.",Lluvia interrumpió labores.,2024-01-14 15:00:00
task_entry_v4_013,task_poda,user_ing_vin,client_03,cont_ext_010,pers_op_ferrari,camp_syrah24_vin,field_vin_03,lot_vin_fm_01,parcel_vin_fm01_01,NULL,NULL,NULL,NULL,2024-03-24 08:15:00,NULL,2.9,En Progreso,2529.35,NULL,"En Progreso: Poda de Frutales en field_vin_03.",Condiciones climáticas óptimas.,2024-01-03 15:00:00
task_entry_v4_014,task_vacunacion,user_admin_pam,client_05,cont_int_005,pers_vet_arias,camp_invernada24_pam,field_pam_01,NULL,NULL,NULL,prod_vacuna_aftosa,124.0,dosis,2024-03-02 08:45:00,2024-03-02 14:51:00,6.1,Finalizada,2150.27,1839.03,"Finalizada: Vacunación de Ganado en field_pam_01.",NULL,2024-02-12 15:00:00
task_entry_v4_015,task_riego_a,user_trab_sur_2,client_02,cont_int_002,pers_op_vega,camp_forraje24_sur,field_sur_02,lot_sur_vf_01,parcel_sur_vf01_01,NULL,NULL,NULL,NULL,2024-07-15 11:15:00,NULL,NULL,Programada,260.86,NULL,"Programada: Riego por Aspersión en field_sur_02.",Personal adicional requerido.,2024-01-18 15:00:00
task_entry_v4_016,task_labranza_p,user_ing_ama,client_01,cont_int_001,pers_op_gimenez,camp_girasol24_ama,field_ama_04,lot_ama_c_01,parcel_ama_c01_01,mach_jd_7200,NULL,NULL,NULL,2024-09-03 10:45:00,NULL,3.6,En Progreso,2972.92,NULL,"En Progreso: Labranza Primaria en field_ama_04.",Condiciones climáticas óptimas.,2024-01-03 15:00:00
task_entry_v4_017,task_control_m,user_admin_nor,client_04,cont_int_004,pers_op_flores,NULL,field_nor_01,lot_nor_t_01,parcel_nor_t01_01,NULL,NULL,NULL,NULL,2024-07-03 11:15:00,NULL,NULL,Programada,306.25,NULL,"Programada: Control de Malezas Manual en field_nor_01.",Personal adicional requerido.,2024-02-08 15:00:00
task_entry_v4_018,task_siembra_pastura,user_enc_ama,client_01,cont_int_001,pers_op_benitez,camp_pasturas24_ama,field_ama_02,lot_ama_r_01,parcel_ama_r01_01,mach_agrometal_tx,prod_sem_alfalfa_cuf,102.0,bolsa,2024-03-10 09:00:00,NULL,NULL,Demorada,2980.75,NULL,"Demorada: Siembra de Pasturas en field_ama_02.",Maquinaria con desperfecto menor.,2023-12-27 15:00:00
task_entry_v4_019,task_alimentacion_s,user_admin_pam,client_05,cont_int_005,pers_op_castro,camp_recria24_pam,field_pam_01,lot_pam_c_02,NULL,NULL,prod_sem_avena,102.0,kg,2024-04-10 15:30:00,2024-04-10 22:12:00,6.7,Finalizada,138.98,148.43,"Finalizada: Alimentación Suplementaria en field_pam_01.",Personal adicional requerido.,2024-01-13 15:00:00
task_entry_v4_020,task_reparacion_a,user_trab_sur_1,client_02,cont_ext_006,NULL,NULL,field_sur_01,NULL,NULL,NULL,prod_alambre_alta,12.0,rollo,2024-05-28 07:00:00,NULL,NULL,Cancelada,261.03,NULL,"Cancelada: Reparación de Alambrados en field_sur_01.",Maquinaria con desperfecto menor.,2024-01-05 15:00:00
task_entry_v4_021,task_fertilizacion_b,user_admin_nor,client_04,cont_ext_006,pers_cont_silva,camp_maiztemprano24_nor,field_nor_02,lot_nor_ll_02,NULL,mach_case_2388,prod_fosfato_d,193.0,kg,2024-10-01 12:45:00,NULL,NULL,Demorada,391.41,NULL,"Demorada: Fertilización de Base en field_nor_02.",Lluvia interrumpió labores.,2024-02-18 15:00:00
task_entry_v4_022,task_marcacion,user_trab_ama_2,client_01,cont_int_001,pers_op_sanchez,camp_feedlot24_ama,field_ama_03,lot_ama_i_02,parcel_ama_i02_01,NULL,NULL,NULL,NULL,2024-07-12 10:00:00,NULL,NULL,Bloqueada,3954.89,NULL,"Bloqueada: Marcación de Ganado en field_ama_03.",Personal adicional requerido.,2024-01-26 15:00:00
task_entry_v4_023,task_limpieza_c,user_admin_vin,client_03,cont_int_003,pers_capataz_vides,camp_olivos24_vin,field_vin_02,NULL,NULL,NULL,NULL,NULL,NULL,2024-06-21 15:30:00,NULL,3.1,En Progreso,462.88,NULL,"En Progreso: Limpieza de Canales en field_vin_02.",Condiciones climáticas óptimas.,2024-01-23 15:00:00
task_entry_v4_024,task_raleo,user_admin_sur,client_02,cont_int_002,pers_op_acuna,camp_peras24_sur,field_sur_01,lot_sur_pl_01,parcel_sur_pl01_01,NULL,NULL,NULL,NULL,2024-02-03 08:00:00,2024-02-03 14:54:00,6.9,Finalizada,2782.36,2477.6,"Finalizada: Raleo de Frutos en field_sur_01.",NULL,2024-01-06 15:00:00
task_entry_v4_025,task_control_parasitos,user_admin_pam,client_05,cont_int_005,pers_vet_arias,camp_invernada24_pam,field_pam_02,NULL,NULL,NULL,prod_ivermectina,17.0,frasco,2024-04-01 11:30:00,NULL,NULL,Bloqueada,2074.05,NULL,"Bloqueada: Control de Parásitos Externos en field_pam_02.",NULL,2024-01-21 15:00:00
task_entry_v4_026,task_mantenimiento_b,user_trab_ama_1,client_01,cont_int_001,pers_op_gimenez,NULL,field_ama_02,lot_ama_r_02,parcel_ama_r02_01,NULL,NULL,NULL,NULL,2024-10-07 08:15:00,NULL,NULL,Cancelada,4744.71,NULL,"Cancelada: Mantenimiento de Bebederos en field_ama_02.",Lluvia interrumpió labores.,2024-02-13 15:00:00
task_entry_v4_027,task_inseminacion,user_admin_pam,client_05,cont_int_005,pers_vet_arias,camp_cria24_pam,field_pam_01,lot_pam_c_01,parcel_pam_c01_01,NULL,NULL,NULL,NULL,2024-10-27 07:45:00,2024-10-27 15:21:00,7.6,Finalizada,371.2,365.9,"Finalizada: Inseminación Artificial en field_pam_01.",Todo según lo planeado.,2024-01-27 15:00:00
task_entry_v4_028,task_fumigacion_f,user_admin_vin,client_03,cont_ext_010,pers_op_ferrari,camp_bonarda24_vin,field_vin_02,lot_vin_sr_01,parcel_vin_sr01_01,mach_favot_fv3000,prod_caldo_bordeles,39.0,kg,2024-04-02 14:15:00,NULL,NULL,Demorada,431.47,NULL,"Demorada: Fumigación Fungicida en field_vin_02.",Lluvia interrumpió labores.,2024-01-11 15:00:00
task_entry_v4_029,task_cosecha_g,user_admin_nor,client_04,cont_ext_009,pers_cosechadora_team,camp_legumbresinv24_nor,field_nor_03,NULL,NULL,mach_jd_s670,NULL,NULL,NULL,2024-09-23 14:45:00,NULL,NULL,Programada,4544.64,NULL,"Programada: Cosecha de Granos en field_nor_03.",Condiciones climáticas óptimas.,2024-02-06 15:00:00
task_entry_v4_030,task_siembra,user_trab_sur_2,client_02,cont_int_002,pers_enc_romero,camp_forraje24_sur,field_sur_02,lot_sur_vf_01,parcel_sur_vf01_01,mach_bertini_21000,prod_sem_avena,137.0,kg,2024-04-01 09:00:00,2024-04-01 18:12:00,9.2,Finalizada,4910.45,5011.49,"Finalizada: Siembra Directa en field_sur_02.",Maquinaria con desperfecto menor.,2024-01-01 15:00:00
task_entry_v4_031,task_labranza_p,user_admin_ama,client_01,cont_int_001,pers_op_quiroga,camp_sorgo24_ama,field_ama_04,lot_ama_c_01,parcel_ama_c01_01,mach_jd_7200,NULL,NULL,NULL,2024-10-23 08:30:00,NULL,NULL,Programada,1543.65,NULL,"Programada: Labranza Primaria en field_ama_04.",NULL,2024-01-20 15:00:00
task_entry_v4_032,task_poda,user_admin_vin,client_03,cont_ext_010,NULL,camp_ajo24_vin,field_vin_01,lot_vin_va_01,parcel_vin_va01_01,NULL,NULL,NULL,NULL,2024-11-15 12:45:00,NULL,3.3,En Progreso,1778.21,NULL,"En Progreso: Poda de Frutales en field_vin_01.",NULL,2024-02-21 15:00:00
